Name	TPM_Tb160_quant	TPM_Tb161_quant	TPM_Tb162_quant	TPM_Tb163_quant	TPM_Tb164_quant	TPM_Tb165_quant
KWMTBOMO12374.mrna1	0.053920	0.000000	0.046533	0.399906	1.095883	0.494733
MSTRG.10960.1	0.000000	0.000000	0.000000	0.090525	0.355663	0.052624
KWMTBOMO12375.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10961.1	9.316655	6.401633	9.277382	3.655045	1.194887	2.160246
MSTRG.10961.2	0.000000	4.784689	0.000000	0.000000	0.000000	0.203199
MSTRG.10961.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10961.4	0.000000	0.000000	0.207308	0.224453	0.271212	0.382500
MSTRG.10961.5	3.871424	5.232801	6.001694	2.425554	2.710501	2.938186
MSTRG.10961.6	2.264272	3.373069	2.539565	1.118303	0.000000	0.235329
MSTRG.10961.7	2.137188	2.851188	3.228202	1.609463	1.739354	2.210357
KWMTBOMO12376.mrna1	6.385339	6.980274	4.674197	1.440743	3.812194	1.771240
MSTRG.10961.8	0.000000	0.000000	0.000000	0.000000	0.000000	0.070105
MSTRG.10961.10	5.015532	1.270609	5.860443	0.000000	2.548857	3.564814
MSTRG.10961.11	0.275326	0.384737	0.222728	0.155003	0.111434	0.170877
MSTRG.10961.12	2.271744	1.330125	2.198502	0.665935	0.383905	0.877833
MSTRG.10961.13	0.000000	0.000000	0.192393	0.000000	0.018934	0.000000
KWMTBOMO12377.mrna1	0.000000	0.183496	0.000000	0.226702	0.000000	0.000000
MSTRG.10961.15	0.000000	0.372608	0.000000	0.991898	2.337046	2.123512
MSTRG.10961.16	8.706714	11.926572	11.712389	2.360628	0.159779	0.743296
MSTRG.10962.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10962.1	1.351130	1.529485	1.458552	3.226621	4.098186	5.364927
MSTRG.10962.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10953.1	0.221638	0.325119	0.000000	0.639550	0.000000	0.085492
KWMTBOMO12378.mrna1	5.262039	4.628152	7.312459	6.610891	11.361432	16.719701
MSTRG.10954.1	5.360723	5.000292	5.254350	14.994846	12.236624	12.026293
KWMTBOMO12379.mrna1	0.800388	0.973221	1.236906	0.675485	1.104836	0.477500
MSTRG.10955.2	0.000000	0.000000	0.000000	0.837054	0.000000	1.123476
MSTRG.10956.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10956.2	0.000000	0.000000	0.000000	0.011084	0.000000	0.000000
KWMTBOMO12380.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.10967.1	2.230783	2.571698	2.823015	4.205253	4.557083	5.850183
MSTRG.10967.2	0.120135	0.213221	0.000000	0.000000	0.000000	0.000000
MSTRG.10967.3	0.000000	0.671860	0.000000	0.000000	0.000000	0.000000
MSTRG.10967.4	0.678615	0.000000	0.000000	0.823446	0.000000	0.716998
MSTRG.10967.5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12381.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12382.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO12383.mrna1	0.299688	0.102948	0.000000	0.000000	0.000000	1.178254
MSTRG.10968.1	0.055269	0.152743	0.243369	1.167903	0.871477	1.353031
MSTRG.10957.1	1.927535	2.505897	2.244136	8.194682	10.934572	7.725961
KWMTBOMO12384.mrna1	23.303952	25.098177	27.651207	19.855828	21.125340	20.038162
KWMTBOMO12385.mrna1	1.747376	1.826082	2.477781	2.735319	5.315531	6.511951
MSTRG.10959.2	1.800178	2.329534	3.235283	4.329371	4.012545	6.385450
MSTRG.10959.1	0.515984	0.231700	0.453784	0.955594	2.508487	0.000000
MSTRG.10963.1	13.078910	14.488625	13.556835	9.189828	8.332430	7.788646
MSTRG.10964.1	10.696727	10.011244	14.241279	4.789489	7.307115	11.856229
KWMTBOMO12386.mrna1	3.516942	4.257270	4.604577	1.370015	2.582924	8.818880
MSTRG.10964.4	0.000000	0.000000	0.963541	0.479292	0.550026	0.000000
MSTRG.10964.3	0.000000	0.498030	0.000000	0.238814	0.000000	0.000000
MSTRG.10964.6	0.000000	0.393832	0.105832	0.335422	0.926070	0.000000
MSTRG.10964.5	0.000000	0.000000	0.000000	0.000000	0.805786	0.878182
MSTRG.10966.1	1.853161	2.537417	3.067982	1.770684	1.419093	1.693275
KWMTBOMO12387.mrna1	19.519424	20.284775	22.255672	18.470329	22.481560	33.640466
MSTRG.10966.2	8.099941	8.242002	10.618576	1.178301	9.346372	8.351096
MSTRG.10966.3	4.398424	3.571356	3.137120	7.473431	0.000000	0.000000
MSTRG.10966.5	0.000000	3.298650	2.697941	0.000000	0.951650	0.000000
MSTRG.10965.1	0.092826	0.017053	0.000000	0.022460	0.049849	0.000000
KWMTBOMO12388.mrna1	0.000000	0.000000	0.313788	0.081328	0.000000	0.156652
MSTRG.10965.3	0.178266	0.334223	0.000000	0.000000	0.221002	0.000000
