Name	TPM_Tb154_quant	TPM_Tb155_quant	TPM_Tb156_quant	TPM_Tb157_quant	TPM_Tb158_quant	TPM_Tb159_quant
MSTRG.557.2	0.000000	0.000000	0.014279	2.057275	1.595395	3.133847
MSTRG.558.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00127.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.559.1	0.000000	0.000000	0.000000	0.000000	0.875449	0.000000
MSTRG.559.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.555.1	0.000000	0.000000	0.000000	0.142777	0.121189	0.000000
MSTRG.560.1	0.360866	0.152342	0.000000	0.738378	0.489187	0.688612
MSTRG.560.2	0.515114	2.110754	1.883786	2.108565	1.348982	1.859323
MSTRG.560.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.560.4	1.650421	0.000000	0.212513	0.591281	1.410314	1.377653
MSTRG.560.5	0.000000	0.000000	0.000000	0.000000	0.571753	0.512584
MSTRG.560.7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.560.6	0.043831	0.000000	0.000000	0.384748	0.090124	0.366850
MSTRG.560.8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.560.9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00128.mrna1	0.000000	0.000000	0.079222	0.000000	0.189509	0.000000
KWMTBOMO00129.mrna1	0.000000	0.000000	0.595475	0.000000	0.000000	0.000000
MSTRG.578.1	0.000000	0.000000	0.000000	0.046231	0.000000	0.000000
MSTRG.578.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.578.2	0.000000	0.000000	0.000000	0.000000	0.358415	0.000000
MSTRG.578.6	0.027262	0.000000	0.000000	0.000000	0.000000	0.268084
MSTRG.578.5	0.894887	0.398671	1.468197	0.000000	0.000000	0.000000
MSTRG.578.4	0.542639	0.970747	1.083175	0.701309	0.000000	0.159028
MSTRG.578.7	0.000000	0.000000	0.000000	0.730719	0.857446	1.379175
MSTRG.578.8	0.000000	0.000000	0.000000	0.000000	0.182184	0.000000
MSTRG.578.9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.578.10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.579.1	0.000000	0.000000	0.000000	0.000000	0.175743	0.000000
MSTRG.579.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00130.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.578.12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00131.mrna1	0.000000	0.000000	0.257590	0.322112	0.000000	0.342294
MSTRG.580.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.562.4	0.000000	0.000000	0.013755	0.000000	0.000000	0.000000
MSTRG.562.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.562.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.562.3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00132.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.561.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00133.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00134.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MSTRG.564.1	0.121730	0.153859	0.344874	0.528745	0.573713	1.712608
MSTRG.564.2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00135.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00136.mrna1	0.090474	0.000000	0.055832	0.510739	0.086392	0.000000
KWMTBOMO00137.mrna1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
KWMTBOMO00138.mrna1	0.000000	0.000000	0.000000	0.065955	0.000000	0.043354
