Name	rcount_Tb142_quant	rcount_Tb143_quant	rcount_Tb144_quant	rcount_Tb145_quant	rcount_Tb146_quant	rcount_Tb147_quant
MSTRG.1250.8	28.619	140.810	430.817	0.000	0.000	0.000
MSTRG.1250.9	0.000	0.000	0.000	880.633	946.132	788.930
MSTRG.1250.10	1377.631	51.060	12.776	26.308	0.000	0.000
MSTRG.1250.11	0.000	0.000	0.000	87.983	0.000	21.471
MSTRG.1250.13	18.529	30.772	59.630	0.000	0.000	0.000
MSTRG.1250.12	0.000	0.000	0.000	84.658	8.315	47.501
MSTRG.1250.14	0.000	0.000	0.000	0.000	0.000	285.977
KWMTBOMO00574.mrna1	5034.936	4768.963	7247.264	4150.304	3430.677	4702.045
KWMTBOMO00575.mrna1	0.000	0.000	4.451	0.000	0.000	6.258
KWMTBOMO00576.mrna1	0.000	0.000	165.568	0.000	0.000	0.000
KWMTBOMO00577.mrna1	0.000	6.088	7.545	5.560	0.000	2.901
KWMTBOMO00578.mrna1	0.000	0.000	0.000	0.000	2.032	0.000
MSTRG.1238.1	0.000	0.000	3.895	4.000	5.000	1.977
MSTRG.1238.2	3.000	14.755	13.105	0.000	0.000	0.000
KWMTBOMO00579.mrna1	0.000	3.245	0.000	0.000	0.000	2.023
KWMTBOMO00580.mrna1	22.000	12.000	28.000	20.000	17.000	30.000
MSTRG.1239.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1239.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1239.3	5.000	4.265	4.125	0.000	0.000	0.000
KWMTBOMO00581.mrna1	0.000	8.735	15.875	2.000	0.000	0.000
MSTRG.1240.1	15.061	125.000	120.989	87.000	60.000	208.067
MSTRG.1240.2	84.939	0.000	162.022	0.000	0.000	0.000
KWMTBOMO00582.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00583.mrna1	8.000	8.000	13.000	2.000	6.000	8.000
MSTRG.1244.1	43.046	74.680	75.855	45.826	23.671	44.098
MSTRG.1244.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1244.3	5.053	0.000	0.000	0.000	10.269	13.400
KWMTBOMO00584.mrna1	0.000	13.191	0.000	0.000	6.792	18.474
MSTRG.1245.2	272.795	256.835	437.778	252.474	199.791	429.218
MSTRG.1245.3	4.683	12.333	0.000	0.000	0.000	25.300
MSTRG.1245.4	0.000	56.734	33.797	37.643	40.488	59.539
MSTRG.1245.5	45.589	11.348	26.609	21.906	7.486	27.744
MSTRG.1241.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00585.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1246.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1247.1	5.732	9.786	5.969	7.020	7.542	22.949
KWMTBOMO00586.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1249.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1249.2	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00587.mrna1	0.000	9.000	0.000	0.000	0.000	0.000
MSTRG.1252.2	0.000	1.000	0.000	0.000	0.000	0.000
MSTRG.1253.1	43.168	88.328	128.968	73.542	69.307	146.252
MSTRG.1253.2	14.832	0.000	51.032	6.909	0.000	23.268
KWMTBOMO00588.mrna1	0.000	17.672	0.000	28.549	0.000	48.480
MSTRG.1253.4	0.000	0.000	0.000	0.000	10.693	0.000
MSTRG.1253.5	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1254.1	36.000	37.053	55.000	42.000	42.000	50.000
MSTRG.1255.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1255.3	49.099	26.957	42.517	0.000	0.000	1.431
MSTRG.1255.2	4.604	0.000	0.000	0.000	0.000	0.000
MSTRG.1255.4	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1255.5	9.298	20.043	0.000	0.000	0.000	0.000
MSTRG.1255.6	0.000	0.000	47.462	3.810	3.145	3.569
MSTRG.1255.7	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00589.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1255.9	0.000	0.000	1.000	0.000	0.000	0.000
MSTRG.1255.10	0.000	0.000	0.000	6.343	0.000	0.000
MSTRG.1255.11	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO00590.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.1256.1	1.003	1.004	0.000	3.678	1.635	3.017
MSTRG.1257.1	427.587	951.461	1653.186	414.964	597.128	711.422
MSTRG.1257.2	1197.190	905.782	1023.011	1052.845	584.804	1365.380
