Name	rcount_Tb148_quant	rcount_Tb149_quant	rcount_Tb150_quant	rcount_Tb151_quant	rcount_Tb152_quant	rcount_Tb153_quant
MSTRG.64.6	1.704	0.000	0.000	0.000	0.000	0.000
MSTRG.64.7	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.5	0.000	9.129	0.000	0.000	0.000	0.000
MSTRG.64.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.4	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.8	0.000	0.000	19.208	0.000	0.000	0.000
MSTRG.64.9	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.10	0.000	37.955	42.436	0.000	35.628	38.599
KWMTBOMO16527.mrna1	156.871	102.002	68.517	140.248	103.170	53.156
MSTRG.67.2	125.012	106.968	92.393	121.448	138.482	90.513
MSTRG.68.1	49.206	18.632	8.371	68.657	31.969	28.803
MSTRG.68.2	43.830	82.848	101.664	0.000	0.000	0.000
KWMTBOMO16528.mrna1	0.000	0.000	0.000	33.679	62.923	72.281
KWMTBOMO16529.mrna1	15.004	15.000	13.421	14.454	21.007	14.002
KWMTBOMO16530.mrna1	15.119	1.922	3.052	0.000	0.000	1.544
KWMTBOMO16531.mrna1	14.495	18.365	14.394	9.074	2.699	17.936
KWMTBOMO16532.mrna1	71.890	117.864	91.412	88.324	70.579	61.096
KWMTBOMO16533.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.73.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.74.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16534.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.74.3	0.000	0.000	0.000	6.110	0.000	0.000
MSTRG.74.4	0.000	0.000	0.000	0.000	0.000	1.361
MSTRG.75.1	107.663	151.013	104.195	81.874	72.723	81.185
KWMTBOMO16535.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.71.1	0.000	0.000	10.142	0.000	0.000	0.000
KWMTBOMO16536.mrna1	4.727	2.998	3.690	4.458	1.244	0.000
KWMTBOMO16537.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.76.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16538.mrna1	23.892	17.569	67.644	24.671	9.474	71.477
KWMTBOMO16539.mrna1	0.000	2.523	2.554	0.000	2.516	0.000
KWMTBOMO16542.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.78.1	34.513	18.211	13.759	8.461	14.955	13.624
MSTRG.80.1	0.000	5.497	0.000	0.000	0.000	0.000
KWMTBOMO16540.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.79.1	0.000	0.000	5.822	0.000	0.000	0.000
KWMTBOMO16541.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16545.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
