Name	rcount_Tb160_quant	rcount_Tb161_quant	rcount_Tb162_quant	rcount_Tb163_quant	rcount_Tb164_quant	rcount_Tb165_quant
KWMTBOMO16519.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.52.1	0.000	0.000	1.987	0.000	0.000	0.000
MSTRG.52.2	0.000	0.000	0.000	0.000	2.741	0.000
MSTRG.52.3	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16520.mrna1	4.261	5.582	8.385	16.066	8.320	19.110
MSTRG.53.1	12.000	34.000	32.000	38.000	41.000	87.000
MSTRG.60.1	59.137	98.603	81.914	1363.802	1341.650	1823.640
MSTRG.60.3	226.165	296.704	351.433	8504.171	8556.884	11646.649
MSTRG.60.2	209.071	291.379	292.073	15120.471	9755.351	7673.087
KWMTBOMO16521.mrna1	476.894	478.323	459.940	11952.832	8630.419	11697.927
MSTRG.55.1	0.000	0.000	0.000	12.701	16.746	8.033
MSTRG.54.1	0.000	2.000	2.883	0.000	0.000	0.000
MSTRG.56.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.57.1	0.000	0.000	0.000	13.307	5.395	0.000
MSTRG.59.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16522.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.58.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16523.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16524.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.61.2	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO16525.mrna1	1.089	1.029	2.377	3.357	3.298	1.084
KWMTBOMO16526.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.2	0.000	8.778	11.723	0.000	0.000	0.000
MSTRG.64.6	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.7	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.5	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.64.3	0.000	0.000	0.000	2.828	0.000	0.000
MSTRG.64.4	0.000	0.000	0.000	0.000	0.000	0.000
