Name	rcount_Tb166_quant	rcount_Tb167_quant	rcount_Tb168_quant	rcount_Tb169_quant	rcount_Tb170_quant	rcount_Tb171_quant
MSTRG.20506.4	12.823	0.000	0.000	44.340	50.554	64.219
MSTRG.20506.5	0.000	0.000	0.000	298.299	269.439	304.396
MSTRG.20506.6	0.000	11.005	0.000	93.796	123.342	96.670
MSTRG.20506.7	0.000	0.000	7.588	289.578	257.640	53.398
MSTRG.20505.1	3.020	10.158	12.907	93.923	91.092	71.605
KWMTBOMO04171.mrna1	4.006	0.000	0.000	0.000	1.317	0.000
MSTRG.20507.1	146.627	277.326	204.598	777.344	741.715	259.994
MSTRG.20507.2	11.682	38.358	0.000	316.677	198.308	182.036
MSTRG.20507.3	92.026	75.931	122.504	0.000	2.188	0.000
KWMTBOMO04172.mrna1	51.355	43.463	15.916	182.401	190.045	163.400
MSTRG.20508.1	16.000	7.000	19.000	0.000	0.000	0.000
KWMTBOMO04173.mrna1	104.365	133.563	76.060	575.526	491.781	357.764
MSTRG.20509.1	6.271	9.379	3.227	20.564	34.200	21.846
KWMTBOMO04174.mrna1	1.000	3.000	4.000	8.000	7.000	7.000
MSTRG.20510.1	1.856	3.361	8.029	0.000	0.000	0.000
MSTRG.20511.1	51.000	49.070	42.000	0.000	1.000	1.000
KWMTBOMO04175.mrna1	88.860	88.470	229.883	315.869	374.008	408.814
MSTRG.20512.1	686.989	897.987	872.160	1733.655	1890.992	1165.063
KWMTBOMO04176.mrna1	156.555	153.232	189.453	249.367	189.637	181.150
MSTRG.20513.1	106.065	79.187	112.249	51.286	72.665	61.487
KWMTBOMO04177.mrna1	8.943	0.000	0.000	0.000	0.000	0.000
MSTRG.20514.1	2.763	2.275	3.331	26.000	27.000	21.000
MSTRG.20514.3	24.294	28.725	39.669	0.000	0.000	0.000
KWMTBOMO04178.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.20515.1	0.000	2.412	0.000	0.000	0.000	0.000
MSTRG.20515.3	93.767	114.187	0.000	38.776	52.456	48.576
MSTRG.20515.2	1079.245	1258.172	1423.023	1858.421	1996.303	1349.801
KWMTBOMO04179.mrna1	253.684	279.736	301.354	276.109	302.431	230.338
