Name	rcount_Tb154_quant	rcount_Tb155_quant	rcount_Tb156_quant	rcount_Tb157_quant	rcount_Tb158_quant	rcount_Tb159_quant
MSTRG.2725.3	0.000	0.000	1.239	0.000	0.000	0.000
MSTRG.2725.4	0.000	0.000	0.000	4.000	0.000	0.000
MSTRG.2725.5	1.000	0.000	0.000	0.000	1.000	0.000
KWMTBOMO06427.mrna1	18411.891	20119.957	12692.001	7284.718	2054.543	6248.725
KWMTBOMO06428.mrna1	9.000	4.000	6.000	5633.029	2543.438	4497.251
MSTRG.2728.1	0.000	0.000	0.000	0.000	1.000	0.000
MSTRG.2727.2	0.000	0.000	0.000	514.501	51.070	25.092
MSTRG.2729.1	0.000	0.000	0.000	0.000	1.000	0.000
MSTRG.2730.1	109.108	131.551	96.640	120.382	73.610	209.000
KWMTBOMO06429.mrna1	19.893	29.449	31.360	12.669	22.390	0.000
MSTRG.2731.1	577.901	534.924	404.796	419.187	265.885	417.318
MSTRG.2731.2	0.000	2.552	0.000	0.000	4.142	0.000
KWMTBOMO06430.mrna1	202.440	221.524	182.838	52.512	0.000	94.704
MSTRG.2741.1	172.906	103.724	151.711	58.670	27.587	92.210
MSTRG.2741.2	0.000	0.000	0.000	0.000	0.000	38.142
MSTRG.2741.4	0.000	3.951	0.000	7.725	0.000	0.000
KWMTBOMO06431.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2741.5	0.000	42.448	0.000	33.584	0.000	98.935
MSTRG.2741.7	71.315	51.220	80.528	158.913	134.593	164.295
MSTRG.2741.6	6.955	0.000	0.000	51.372	75.835	24.444
KWMTBOMO06432.mrna1	56.000	44.000	69.000	67.000	40.000	92.000
MSTRG.2732.1	39.548	16.391	32.407	86.358	55.267	102.720
MSTRG.2733.1	1.000	12.000	7.000	18.005	20.000	48.969
KWMTBOMO06433.mrna1	11.000	4.000	10.000	18.995	12.009	31.031
MSTRG.2735.1	762.011	730.281	463.140	191.669	83.061	231.162
KWMTBOMO06434.mrna1	104.259	136.930	267.803	44.080	43.504	77.079
MSTRG.2735.2	1906.940	1898.395	1336.084	493.459	226.519	559.035
KWMTBOMO06435.mrna1	32.000	16.001	13.000	3014.872	2033.845	2873.022
KWMTBOMO06436.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2737.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06437.mrna1	1121.135	1125.124	1033.742	562.000	302.037	560.875
KWMTBOMO06438.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2739.2	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06439.mrna1	0.000	0.000	0.000	475.460	311.810	444.871
MSTRG.2743.2	3.000	1.000	3.000	30.541	4.190	28.129
MSTRG.2740.1	0.000	1.000	3.000	0.000	0.000	1.000
KWMTBOMO06440.mrna1	705.123	886.126	981.290	632.000	481.000	1004.994
KWMTBOMO06441.mrna1	640.332	632.028	455.000	138.000	69.000	150.000
KWMTBOMO06442.mrna1	0.000	0.000	0.000	0.000	0.000	2.000
KWMTBOMO06443.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06444.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06445.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06446.mrna1	0.000	0.000	0.000	8.325	5.605	0.000
KWMTBOMO06447.mrna1	0.000	15.568	22.303	3.800	5.896	22.493
MSTRG.2746.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2747.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2748.1	4.000	4.036	21.525	149.737	145.774	202.115
KWMTBOMO06448.mrna1	0.000	0.000	0.000	0.000	0.000	1.000
MSTRG.2750.1	0.000	0.000	0.000	1.000	1.000	0.000
KWMTBOMO06449.mrna1	0.000	4.964	22.762	134.263	78.226	178.885
MSTRG.2751.1	1.000	1.000	0.000	7.000	3.000	14.000
KWMTBOMO06450.mrna1	40.000	21.000	29.000	15445.059	11175.013	18013.142
MSTRG.2753.1	19.000	56.000	26.000	2926.606	2430.913	3857.163
KWMTBOMO06451.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06452.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2760.1	554.890	679.997	622.098	273.578	192.729	211.681
MSTRG.2760.2	9.554	5.395	28.853	0.000	0.000	15.069
MSTRG.2760.3	4.336	1.609	2.577	20.470	10.916	61.963
KWMTBOMO06453.mrna1	0.000	0.000	0.000	0.000	0.000	27.288
MSTRG.2754.1	1.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06454.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2756.1	2500.437	3175.025	2221.203	1142.064	560.914	1058.716
MSTRG.2756.3	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2759.1	0.000	0.000	0.000	0.000	0.000	0.000
KWMTBOMO06455.mrna1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2755.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2757.1	4.000	2.001	2.828	1.699	0.000	3.093
MSTRG.2758.1	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2761.4	7.182	16.162	2.933	3.164	8.201	13.757
KWMTBOMO06456.mrna1	209.934	147.824	143.458	58.037	0.000	0.000
MSTRG.2761.2	36.128	11.689	16.520	3.756	27.537	11.528
MSTRG.2761.1	0.000	19.679	0.000	0.000	0.000	26.381
MSTRG.2761.3	0.000	0.000	0.000	0.000	10.627	0.000
MSTRG.2761.6	146.624	170.906	114.108	31.888	32.634	49.112
MSTRG.2761.7	33.541	18.674	38.764	12.155	0.000	5.222
MSTRG.2761.8	0.000	16.765	6.252	0.000	0.000	0.000
MSTRG.2762.1	165.294	192.625	106.360	130.547	55.239	104.837
KWMTBOMO06457.mrna1	114.077	104.085	143.715	0.000	41.449	83.018
MSTRG.2763.2	0.000	0.000	0.000	0.000	0.000	0.000
MSTRG.2763.1	5.000	5.000	9.000	0.000	4.000	3.000
MSTRG.2762.3	31.630	9.292	26.926	3.453	9.312	25.144
MSTRG.2766.1	5.564	3.128	1.083	2.538	2.718	5.878
